refNo,site,date,timeEST,pH,pHmetrohm,DIC,spCond,temp,ANC960,ANCMet,gageHt,hydroGraph,flowGageHt,precipCatch,fieldCode,notes,archived,uniqueID,waterYr,datetime,Ca,Mg,K,Na,TMAl,OMAl,Al_ICP,SO4,Cl,PO4,DOC,TDN,DON,SiO2,Mn,Fe,F,cationCharge,anionCharge,theoryCond,ionError,duplicate,sampleType,ionBalance,NO3_N,NH4_N
10986,HBK,6/3/2013,12:40:00,6.16,NA,39,11,14.6,23.1,NA,NA,NA,NA,NA,907,NA,NA,HBK_20130603_1240,2013,6/3/2013 12:40,0.8334,0.2393,0.2025,0.9284,0.0604,0.0457,0.1043,2.5912,0.6081,0.0015,3.8228,0.1148,0.1124,2.7192,0.001,0.0265,0.0983,114.3881,-113.8709,14.0764,0.0045,NA,Routine,0.5172,0.005715186,0.002018876
11012,HBK,6/10/2013,11:45:00,6.31,NA,46,11.7,12.4,31.9,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130610_1145,2013,6/10/2013 11:45,0.9349,0.279,0.1717,0.8901,0.0337,0.0259,0.1063,2.8037,0.4637,0.0063,2.5985,0.0495,0.0974,5.6502,0.001,0.0166,0.0842,117.104,-117.3647,14.3372,-0.0022,NA,Routine,-0.2607,0.005715186,0.002018876
11038,HBK,6/17/2013,10:30:00,6.4,NA,48,11.7,12.9,34.5,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130617_1030,2013,6/17/2013 10:30,0.897,0.2738,0.1897,0.9143,0.0337,0.0244,0.0913,2.9067,0.3833,0.0076,2.5601,0.1107,0.1053,5.7918,0.001,0.0145,0.0325,116.2011,-119.7754,14.3672,-0.0303,NA,Routine,-3.5744,0.005715186,0.002018876
11059,HBK,6/24/2013,12:35:00,6.51,NA,65,13.6,17.8,44.8,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130624_1235,2013,6/24/2013 12:35,1.0026,0.3113,0.2702,1.0429,0.0196,0.0153,0.0544,3.0142,0.3672,0.0047,2.1299,0.109,0.0963,6.6502,0.0029,0.0151,0.0325,130.7523,-129.4294,15.6503,0.0102,NA,Routine,1.3228,0.005715186,0.004891893
11088,HBK,7/1/2013,7:35:00,6.36,NA,48,12.7,15.6,31.1,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130701_0735,2013,7/1/2013 7:35,0.9987,0.3035,0.2176,1.0581,0.0408,0.0311,0.1302,2.4905,0.3354,0.0015,2.9346,0.1074,0.1024,6.0883,0.001,0.0277,0.0325,131.5254,-107.64,14.3495,0.1997,NA,Routine,23.8854,0.005715186,0.002018876
11103,HBK,7/7/2013,11:20:00,6.38,NA,51,12.4,17.8,31,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130707_1120,2013,7/7/2013 11:20,0.9427,0.294,0.231,1.1201,0.0359,0.0179,0.1077,2.6871,0.3647,0.0015,2.7673,0.1145,0.098,6.5403,0.001,0.0242,0.0325,130.5743,-111.624,14.6075,0.1565,NA,Routine,18.9503,0.005715186,0.004193051
11125,HBK,7/15/2013,11:40:00,6.51,NA,55,12.8,19,33.8,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130715_1140,2013,7/15/2013 11:40,0.9624,0.2861,0.3022,1.3834,0.0265,0.0235,0.0936,2.8904,0.3814,0.0052,2.5354,0.141,0.1122,6.8896,0.001,0.0233,0.0325,142.8723,-119.9616,15.8061,0.1743,NA,Routine,22.9107,0.028598518,0.002018876
11135,HBK,7/22/2013,11:30:00,6.3,NA,62,14.4,17.1,46.7,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130722_1130,2013,7/22/2013 11:30,1.0336,0.301,0.2555,1.0943,0.0293,0.02,0.0809,2.7449,0.3512,0.0038,2.8066,0.1236,0.0854,7.0713,0.001,0.0269,0.0725,134.3874,-130.9707,15.8345,0.0258,NA,Routine,3.4167,0.039486737,0.002018876
11154,HBK,7/29/2013,11:25:00,6.49,NA,57,12.7,17.9,38,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130729_1125,2013,7/29/2013 11:25,0.9512,0.2831,0.2231,0.883,0.0283,0.022,0.0821,2.625,0.3495,0.0015,2.9138,0.1033,0.0817,6.5083,0.001,0.0258,0.0696,118.4891,-118.6207,14.2407,-0.0011,NA,Routine,-0.1316,0.019517472,0.002018876
11173,HBK,8/5/2013,12:05:00,6.69,NA,57,NA,15.1,41.5,NA,NA,NA,NA,NA,969,NA,NA,HBK_20130805_1205,2013,8/5/2013 12:05,1.1132,0.3236,0.2297,1.1998,0.0218,0.0164,0.0851,2.6482,0.3305,0.0135,2.786,0.1266,0.0935,7.5471,0.001,0.0264,0.0681,143.227,-123.1949,15.708,0.1504,NA,Routine,20.0321,0.027988597,0.00512484
11207,HBK,8/12/2013,11:40:00,6.56,NA,70,13.6,15.5,48.2,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130812_1140,2013,8/12/2013 11:40,1.0465,0.3047,0.2709,1.2814,0.0307,0.02,0.0789,2.7807,0.3439,0.0033,2.6806,0.1603,0.1112,6.9507,0.001,0.0264,0.0893,143.7968,-132.7868,16.3748,0.0796,NA,Routine,11.01,0.045721485,0.002018876
11208,HBK,8/12/2013,11:40:00,6.56,NA,70,13.6,15.5,48.2,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130812_1140_Dup,2013,8/12/2013 11:40,1.0539,0.3027,0.2701,1.2581,0.0302,0.0197,0.0897,2.6691,0.3404,0.0015,2.6565,0.1421,0.106,6.8617,0.001,0.0252,0.0856,142.9047,-129.404,16.0827,0.0992,Dup,Routine,13.5007,0.036437132,0.002018876
11230,HBK,8/19/2013,12:55:00,6.6,NA,81,15.5,15.9,59.1,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130819_1255,2013,8/19/2013 12:55,1.0576,0.3524,0.3057,1.4292,0.0241,0.0165,0.0582,2.9288,0.3604,0.0015,2.2845,0.1564,0.094,7.6348,0.001,0.0202,0.0325,154.8355,-146.0651,17.7028,0.0583,NA,Routine,8.7704,0.05954636,0.002018876
11250,HBK,8/26/2013,12:10:00,6.73,NA,112,18.8,15.5,82.8,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130826_1210,2013,8/26/2013 12:10,1.3814,0.4466,0.4152,1.7853,0.02,0.0121,0.0672,3.1965,0.4045,0.0015,2.0544,0.2292,0.0729,8.5729,0.001,0.0179,0.08,196.6627,-182.0407,22.0338,0.0772,NA,Routine,14.6219,0.152096223,0.004193051
11262,HBK,9/2/2013,8:50:00,6.55,NA,77,14.7,18,67.6,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130902_0850,2013,9/2/2013 8:50,1.3971,0.3801,0.4418,1.4878,0.0364,0.0312,0.1201,2.43,0.2958,0.0032,4.6169,0.1915,0.1304,7.4242,0.001,0.0499,0.0861,181.4886,-154.1062,19.2033,0.1632,NA,Grab,27.3824,0.058462056,0.002018876
11278,HBK,9/3/2013,11:35:00,6.27,NA,42,13.4,17,38.2,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130903_1135,2013,9/3/2013 11:35,1.2457,0.3324,0.2751,1.2741,0.0747,0.0657,0.2348,2.599,0.3123,0.0047,6.5987,0.1916,0.1598,7.0924,0.0025,0.0971,0.0689,161.3189,-136.347,17.3749,0.1678,NA,Routine,24.9719,0.024893812,0.006910769
11298,HBK,9/9/2013,9:05:00,6.73,NA,88,15.8,11.4,75,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130909_0905,2013,9/9/2013 9:05,1.4235,0.4286,0.3635,1.6663,0.0286,0.0177,0.0475,3.0121,0.3768,0.0061,2.4618,0.1185,0.0724,8.8977,0.001,0.0205,0.096,192.0766,-163.9091,20.5817,0.1583,NA,Routine,28.1675,0.037340718,0.008774347
11325,HBK,9/16/2013,11:35:00,6.47,NA,52,11,12.4,48,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130916_1135,2013,9/16/2013 11:35,1.0418,0.3082,0.2312,1.0367,0.035,0.0281,0.1051,2.8163,0.3282,0.0015,3.4648,0.1177,0.0936,6.5555,0.001,0.0237,0.0325,132.7342,-134.9245,15.8716,-0.0164,NA,Routine,-2.1903,0.021844207,0.002018876
11348,HBK,9/23/2013,11:30:00,6.55,NA,59,13.2,10.6,55.3,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130923_1130,2013,9/23/2013 11:30,1.0751,0.3336,0.2958,1.1235,0.0356,0.0296,0.1048,2.8302,0.3594,0.0015,3.4882,0.1064,0.1011,7.1891,0.0023,0.0353,0.0325,142.1607,-142.3595,16.7177,-0.0014,NA,Routine,-0.1988,0.005715186,0.005357787
11368,HBK,9/30/2013,11:00:00,6.69,NA,94,16.3,10.6,73.1,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20130930_1100,2013,9/30/2013 11:00,1.2204,0.3853,0.3153,1.3211,0.0203,0.0154,0.0503,3.1411,0.3673,0.0015,2.4158,0.0495,0.071,8.1535,0.0021,0.0163,0.0657,160.7443,-161.4929,18.8161,-0.0046,NA,Routine,-0.7486,0.005715186,0.002018876
11386,HBK,10/7/2013,9:20:00,6.66,NA,101,18,10.8,78.6,NA,NA,NA,NA,NA,969,NA,NA,HBK_20131007_0920,2013,10/7/2013 9:20,1.2695,0.422,0.9431,1.6313,0.0303,0.0257,0.0891,3.1412,0.478,0.0034,3.4992,0.0495,0.0872,8.2741,0.0051,0.0317,0.0325,196.8925,-175.7195,21.7672,0.1136,NA,Routine,21.173,0.005715186,0.002018876
11413,HBK,10/15/2013,10:05:00,6.61,NA,87,14.8,11.2,70.7,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131015_1005,2013,10/15/2013 10:05,1.178,0.3957,0.4741,1.536,0.0236,0.0171,0.0567,3.0646,0.4062,0.0039,2.6254,0.0495,0.0771,8.1016,0.0037,0.0205,0.068,173.7313,-159.8749,19.4377,0.0831,NA,Routine,13.8564,0.005715186,0.008075505
11433,HBK,10/21/2013,10:55:00,6.57,NA,81,13.1,7.3,60.3,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131021_1055,2013,10/21/2013 10:55,1.0984,0.4293,0.3911,1.1407,0.0248,0.0198,0.0793,2.9751,0.4346,0.0015,2.7761,0.0495,0.0863,7.0674,0.001,0.0318,0.0325,152.9258,-148.9357,17.8169,0.0264,NA,Routine,3.9901,0.005715186,0.002018876
11434,HBK,10/21/2013,10:55:00,6.57,NA,81,13.1,7.3,60.3,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131021_1055_Dup,2013,10/21/2013 10:55,1.0894,0.4261,0.394,1.1301,0.0258,0.0202,0.0855,2.8931,0.4388,0.005,2.7497,0.109,0.1114,6.9362,0.001,0.0311,0.0325,151.9458,-147.5527,17.6421,0.0293,Dup,Routine,4.3931,0.005715186,0.002018876
11456,HBK,10/28/2013,11:30:00,6.82,NA,93,16.5,4.5,67.2,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131028_1130,2013,10/28/2013 11:30,1.131,0.4418,0.3341,1.1994,0.0215,0.014,0.0562,3.085,0.3944,0.0015,2.1199,0.0495,0.07,7.3886,0.001,0.019,0.0674,156.1982,-153.7093,18.1984,0.0161,NA,Routine,2.4888,0.005715186,0.002018876
11479,HBK,11/4/2013,12:45:00,6.32,NA,67,12.2,12.2,39.6,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131104_1245,2013,11/4/2013 12:45,0.9036,0.3146,0.3203,1.11,0.035,0.0275,0.0166,3.0305,0.5467,0.0015,2.9108,0.1273,0.075,1.2346,0.001,0.0112,0.0325,132.2606,-136.1111,16.3231,-0.0287,NA,Routine,-3.8505,0.046128099,0.006134278
11502,HBK,11/11/2013,12:35:00,6.43,NA,63,12.7,2.7,42.8,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131111_1235,2013,11/11/2013 12:35,0.9962,0.333,0.2628,1.1222,0.0294,0.0226,0.0569,3.0697,0.4283,0.0035,2.3892,0.1402,0.0988,6.9841,0.001,0.0219,0.0688,136.4341,-134.0814,16.351,0.0174,NA,Routine,2.3528,0.042107138,0.002018876
11527,HBK,11/18/2013,12:25:00,5.79,NA,40,11.7,4.5,18.4,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131118_1225,2013,11/18/2013 12:25,1.0068,0.3198,0.4162,0.8194,0.1097,0.1011,0.2537,2.5529,0.4143,0.0039,6.7531,0.3068,0.1393,5.5382,0.0203,0.0754,0.0325,137.2473,-128.7611,16.5,0.0638,NA,Routine,8.4862,0.159370096,0.008230804
11548,HBK,11/25/2013,11:45:00,6.42,NA,79,13.8,0.1,43.9,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131125_1145,2013,11/25/2013 11:45,1.1099,0.3689,0.2474,1.1154,0.0265,0.0209,0.0747,3.4175,0.454,0.0015,2.3094,0.1795,0.0882,7.3851,0.001,0.0136,0.0325,144.0593,-145.9991,17.6894,-0.0134,NA,Routine,-1.9397,0.090313486,0.002018876
11559,HBK,11/27/2013,10:35:00,5.97,NA,50,9.9,0.1,21.2,NA,NA,NA,NA,NA,911,NA,NA,HBK_20131127_1035,2013,11/27/2013 10:35,0.7446,0.2473,0.3077,0.709,0.0596,0.0484,0.1421,2.2881,0.3403,0.0033,3.8188,0.2417,0.1357,4.5336,0.0091,0.0316,0.0325,104.0549,-105.1844,13.0287,-0.0108,NA,Grab,-1.1296,0.102647444,0.002018876
11577,HBK,12/2/2013,13:15:00,6.23,NA,52,11.1,0.1,25.5,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131202_1315,2013,12/2/2013 13:15,0.8095,0.2711,0.2033,0.9821,0.0339,0.0253,0.065,2.8037,0.3389,0.0015,2.0901,0.2325,0.0968,5.7411,0.0031,0.0127,0.0325,115.1225,-113.6007,14.2123,0.0133,NA,Routine,1.5219,0.13404708,0.002018876
11593,HBK,12/9/2013,13:30:00,6.28,NA,58,12.2,0.1,29.2,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131209_1330,2013,12/9/2013 13:30,0.9395,0.3023,0.189,0.9127,0.0319,0.0241,0.0681,3.0178,0.4012,0.0015,2.1804,0.2387,0.1031,6.0707,0.001,0.0102,0.0712,120.7804,-123.6561,15.1697,-0.0235,NA,Routine,-2.8757,0.129687274,0.005823682
11614,HBK,12/16/2013,12:15:00,6.29,NA,69,10.1,0.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131216_1215,2013,12/16/2013 12:15,1.048,0.3492,0.2154,1.032,0.0259,0.0192,0.0636,3.111,0.4685,0.0037,1.8476,0.2183,0.1105,6.7788,0.001,0.0243,0.0325,134.9605,-97.2059,14.8489,0.3252,NA,Routine,37.7546,0.105313024,0.002018876
11626,HBK,12/23/2013,11:50:00,6.15,NA,52,10.9,0.1,23,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131223_1150,2013,12/23/2013 11:50,0.939,0.306,0.1647,0.781,0.0394,0.0318,0.1222,2.686,0.4168,0.0035,2.7748,0.2877,0.0806,5.3083,0.0065,0.0344,0.0325,115.6433,-119.3532,14.672,-0.0316,NA,Routine,-3.71,0.202471179,0.004581296
11641,HBK,12/30/2013,11:30:00,6.36,NA,61,12.5,0.2,33.5,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131230_1130,2013,12/30/2013 11:30,0.9989,0.3213,0.1892,0.9332,0.0277,0.0198,0.073,3.0121,0.3605,0.0039,1.753,0.2297,0.0845,6.2154,0.001,0.0278,0.0325,125.3808,-125.8462,15.5036,-0.0037,NA,Routine,-0.4653,0.144619044,0.002018876
11642,HBK,12/30/2013,11:30:00,6.36,NA,61,12.5,0.2,33.5,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20131230_1130_Dup,2013,12/30/2013 11:30,1.0011,0.3231,0.1864,0.9066,0.0275,0.0198,0.0721,2.9592,0.3305,0.0034,1.713,0.2013,0.056,6.2157,0.001,0.0262,0.0325,124.3816,-123.5596,15.2849,0.0066,Dup,Routine,0.822,0.143286253,0.002018876
11662,HBK,1/7/2014,9:50:00,6.48,NA,71,12.3,0.3,39.9,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140107_0950,2013,1/7/2014 9:50,1.0576,0.3408,0.2392,1.0066,0.0254,0.0194,0.062,3.1173,0.3109,0.0044,1.6971,0.1787,0.045,6.2673,0.001,0.0279,0.0325,134.0254,-132.1057,16.2588,0.0144,NA,Routine,1.9197,0.134747359,0.002018876
11677,HBK,1/13/2014,11:20:00,5.82,NA,42,10.7,0.1,10.9,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140113_1120,2013,1/13/2014 11:20,0.8639,0.2621,0.1826,0.721,0.0622,0.045,0.1241,2.4527,0.2775,0.0015,2.6562,0.3149,0.0819,4.9665,0.0128,0.0165,0.0325,109.288,-99.6134,13.4991,0.0926,NA,Routine,9.6746,0.229578779,0.002018876
11693,HBK,1/20/2014,12:25:00,6.18,NA,53,11.7,0.2,26.2,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140120_1225,2013,1/20/2014 12:25,0.9178,0.2894,0.1737,0.833,0.0364,0.0272,0.0773,2.8533,0.3146,0.0015,1.947,0.2381,0.0554,5.7805,0.001,0.0131,0.0325,115.1437,-117.4511,14.5621,-0.0198,NA,Routine,-2.3075,0.183337732,0.002018876
11705,HBK,1/27/2014,11:00:00,6.4,NA,73,13.1,0.1,36.2,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140127_1100,2013,1/27/2014 11:00,1.1198,0.3549,0.2396,1.1104,0.028,0.0186,0.0449,3.1611,0.9777,0.0015,1.7309,0.204,0.0501,6.9507,0.001,0.0122,0.1752,143.1661,-149.3443,18.2038,-0.0422,NA,Routine,-6.1783,0.153383834,0.002018876
11723,HBK,2/3/2014,12:35:00,6.45,NA,80,13.8,0.2,46.3,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140203_1235,2013,2/3/2014 12:35,1.1259,0.3646,0.2248,1.0048,0.0261,0.0164,0.0332,3.252,0.3943,0.0015,1.5063,0.1962,0.058,6.9563,0.001,0.0145,0.0325,139.0425,-142.5455,17.2019,-0.0249,NA,Routine,-3.503,0.136396405,0.002018876
11739,HBK,2/10/2014,11:00:00,6.54,NA,86,14.4,0.1,52.1,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140210_1100,2013,2/10/2014 11:00,1.2569,0.4166,0.2655,1.1714,0.021,0.0153,0.0272,3.2841,0.417,0.0033,1.6115,0.2059,0.0473,7.8394,0.001,0.0153,0.092,158.2242,-151.0946,18.6353,0.0461,NA,Routine,7.1296,0.146697293,0.01195796
11755,HBK,2/17/2014,12:00:00,6.53,NA,87,15.3,0.2,56.1,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140217_1200,2013,2/17/2014 12:00,1.271,0.4306,0.3112,1.3211,0.0197,0.0144,0.0247,3.3227,0.3711,0.0015,1.5059,0.182,0.0293,8.053,0.001,0.017,0.0325,167.3333,-153.7587,19.2535,0.0846,NA,Routine,13.5746,0.144754582,0.007997856
11770,HBK,2/24/2014,14:55:00,6.54,NA,91,15.4,0.6,52.9,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140224_1455,2013,2/24/2014 14:55,1.1884,0.3768,0.2484,1.1257,0.0181,0.006,0.0327,3.3398,0.3982,0.0015,1.5047,0.2209,0.0464,6.909,0.001,0.0114,0.0325,148.2891,-153.4426,18.2831,-0.0342,NA,Routine,-5.1535,0.169558035,0.004969542
11783,HBK,3/3/2014,12:10:00,6.48,NA,90,15.8,0.1,56.6,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140303_1210,2013,3/3/2014 12:10,1.1893,0.3794,0.2677,1.2046,0.0189,0.0122,0.0345,3.4326,0.3834,0.0038,1.4551,0.2201,0.067,7.4599,0.001,0.0106,0.0716,152.6984,-157.0053,18.6942,-0.0278,NA,Routine,-4.3069,0.146719883,0.006367225
11797,HBK,3/10/2014,10:15:00,6.58,NA,94,16.1,0.3,63.6,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140310_1015,2013,3/10/2014 10:15,1.2341,0.4106,0.2781,1.3013,0.008,0.006,0.033,3.5079,0.3674,0.0015,1.4928,0.1852,0.0352,7.5955,0.001,0.0133,0.0325,160.7785,-164.779,19.4716,-0.0246,NA,Routine,-4.0005,0.142450436,0.007609611
11812,HBK,3/17/2014,11:35:00,6.6,NA,95,15.7,0.3,61.2,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140317_1135,2013,3/17/2014 11:35,1.2724,0.4246,0.2745,1.2192,0.008,0.006,0.0351,3.3632,0.3857,0.0035,1.4876,0.2174,0.0764,7.5622,0.001,0.0136,0.0682,159.7778,-159.9714,19.1459,-0.0012,NA,Routine,-0.1936,0.141343542,0.002018876
11813,HBK,3/17/2014,11:35:00,6.6,NA,95,15.7,0.3,61.2,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140317_1135_Dup,2013,3/17/2014 11:35,1.2619,0.4219,0.2775,1.2293,0.008,0.006,0.0265,3.353,0.4139,0.0015,1.4582,0.2157,0.0711,7.6259,0.001,0.012,0.0813,159.8413,-160.0067,19.1487,-0.001,Dup,Routine,-0.1654,0.138429475,0.006134278
11829,HBK,3/24/2014,12:20:00,6.55,NA,98,14.1,0.1,64.6,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140324_1220,2013,3/24/2014 12:20,1.254,0.4226,0.2812,1.2904,0.008,0.006,0.032,3.3234,0.3714,0.0036,1.455,0.2053,0.0712,7.5179,0.001,0.0118,0.0729,162.1797,-161.1362,19.2497,0.0065,NA,Routine,1.0435,0.129416198,0.004736594
11845,HBK,3/31/2014,10:00:00,6.1,NA,60,12.6,0.1,28.9,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140331_1000,2013,3/31/2014 10:00,1.0747,0.3498,0.3058,0.8962,0.0495,0.0376,0.0886,2.7727,0.4431,0.0015,3.0304,0.3411,0.0728,4.9933,0.008,0.0245,0.0325,136.135,-132.9646,16.6951,0.0236,NA,Routine,3.1704,0.259668214,0.008619049
11875,HBK,4/7/2014,9:35:00,6.1,NA,55,11.3,0.9,25.5,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140407_0935,2013,4/7/2014 9:35,0.9259,0.3009,0.2153,0.9883,0.0307,0.0223,0.074,2.8374,0.3746,0.0015,1.966,0.2736,0.0769,5.2416,0.0043,0.0135,0.0325,124.3596,-118.4691,15.1481,0.0485,NA,Routine,5.8905,0.186974668,0.009783785
11886,HBK,4/8/2014,9:30:00,6.01,NA,94,NA,NA,16.5,NA,NA,NA,NA,NA,911,NA,NA,HBK_20140408_0930,2013,4/8/2014 9:30,0.87,0.2585,0.2589,0.8041,0.0488,0.0378,0.1117,2.2404,0.3279,0.0038,2.9617,0.3163,0.1131,4.2653,0.0104,0.0143,0.0325,113.2355,-101.5363,13.4346,0.1089,NA,Grab,11.6992,0.19560392,0.007609611
11909,HBK,4/14/2014,11:40:00,5.73,NA,41,10.2,3.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140414_1140,2013,4/14/2014 11:40,0.8578,0.2678,0.2069,0.7612,0.0574,0.0391,0.1263,2.357,0.3845,0.0015,2.7969,0.3775,0.1532,4.2704,0.0153,0.0127,0.0674,111.6406,-102.5048,13.8631,0.0853,NA,Routine,9.1358,0.223479569,0.002018876
11934,HBK,4/21/2014,11:20:00,5.89,NA,42,9.8,3.3,15.6,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140421_1120,2013,4/21/2014 11:20,0.7669,0.2349,0.2219,0.759,0.0417,0.0292,0.0785,2.4645,0.3851,0.0015,2.6149,0.2611,0.0778,4.4821,0.0052,0.0077,0.0325,102.5642,-103.7367,13.2033,-0.0114,NA,Routine,-1.1724,0.178480953,0.004814244
11964,HBK,4/28/2014,10:35:00,5.88,NA,39,9.8,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140428_1035,2013,4/28/2014 10:35,0.7846,0.2386,0.1874,0.6763,0.0568,0.0392,0.1025,2.4798,0.3738,0.0015,3.0365,0.2148,0.0727,4.2521,0.0043,0.0092,0.0325,100.781,-87.4293,12.3378,0.1419,NA,Routine,13.3517,0.139039396,0.002018876
11990,HBK,5/5/2014,10:35:00,5.66,NA,32,9.3,5.6,14.2,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140505_1035,2013,5/5/2014 10:35,0.3579,0.1305,0.1749,0.4761,0.0858,0.0599,0.463,2.2586,0.3283,0.0015,3.818,0.2113,0.0876,2.3642,0.0164,0.2548,0.0325,65.6524,-98.3544,10.906,-0.3988,NA,Routine,-32.702,0.120922484,0.002018876
12023,HBK,5/12/2014,11:55:00,6.04,NA,42,9.8,10.8,23.3,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140512_1155,2013,5/12/2014 11:55,0.7507,0.2455,0.2214,0.8022,0.0424,0.0311,0.1032,2.5778,0.3419,0.0015,3.0641,0.1411,0.0726,4.6058,0.001,0.0144,0.0325,104.2497,-106.5581,13.1106,-0.0219,NA,Routine,-2.3084,0.062686324,0.005746033
12053,HBK,5/19/2014,12:00:00,5.97,NA,38,9.3,8.9,14.7,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140519_1200,2013,5/19/2014 12:00,0.8393,0.2734,0.2401,0.8538,0.0442,0.0318,0.1485,2.4188,0.4347,0.0015,3.0933,0.1685,0.0874,5.0878,0.0039,0.0122,0.0325,114.306,-98.0635,13.3136,0.153,NA,Routine,16.2425,0.071835139,0.009240242
12070,HBK,5/26/2014,11:05:00,6.19,NA,45,10.3,11.2,28.5,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140526_1105,2013,5/26/2014 11:05,0.9525,0.2795,0.2298,0.8807,0.0247,0.0203,0.1075,2.5657,0.3753,0.0015,2.8459,0.1399,0.1045,5.5365,0.001,0.0106,0.0325,118.4155,-109.1056,13.8962,0.0818,NA,Routine,9.3099,0.03112856,0.0042707
12071,HBK,5/26/2014,11:05:00,6.19,NA,45,10.3,11.2,28.5,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140526_1105_Dup,2013,5/26/2014 11:05,0.9366,0.2792,0.2281,0.8656,0.0252,0.0226,0.0842,2.54,0.3975,0.0015,2.605,0.1385,0.1026,5.5549,0.001,0.0112,0.0325,117.0818,-107.8963,13.7652,0.0817,Dup,Routine,9.1855,0.02981836,0.006056629
12087,HBK,6/2/2014,13:45:00,6.32,NA,56,11.6,13.3,39.3,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140602_1345,2014,6/2/2014 13:45,1.0179,0.2943,0.234,1.0014,0.0215,0.0177,0.096,2.8049,0.3779,0.0015,2.4385,0.1249,0.1053,6.123,0.001,0.0086,0.0325,127.8368,-121.6911,15.0622,0.0493,NA,Routine,6.1456,0.013915234,0.005746033
12099,HBK,6/9/2014,8:15:00,6.57,NA,82,13.5,15,60.1,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140609_0815,2014,6/9/2014 8:15,1.0353,0.3337,0.3026,1.2409,0.0245,0.0138,0.0657,3.1358,0.4116,0.0015,2.167,0.1253,0.096,6.8753,0.001,0.0095,0.0325,143.9712,-150.0214,17.4646,-0.0412,NA,Routine,-6.0503,0.028598518,0.002018876
12104,HBK,6/13/2014,16:10:00,6.27,NA,30,11.4,12.4,37.9,NA,NA,NA,NA,NA,NA,NA,NA,HBK_20140613_1610,2014,6/13/2014 16:10,0.9166,0.2818,0.2959,0.9933,0.0567,0.0459,0.1503,2.461,0.3759,0.0015,4.153,0.1347,0.1196,5.6811,0.0025,0.0449,0.0325,126.6932,-121.7917,14.815,0.0395,NA,Grab,4.9015,0.015948304,0.002018876
